효능군,품목명
해열진통소염제,셀페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아펙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,휴낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세클란정(아세클로페낙)_(0.1g/1정)
해열진통소염제,에어탈정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아리탈정(아세클로페낙)_(0.1g/1정)
해열진통소염제,에어낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,현대아세클로페낙정_(0.1g/1정)
해열진통소염제,아세크로나정(아세클로페낙)_(0.1g/1정)
해열진통소염제,엔페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아크로펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세크론정(아세클로페낙)_(0.1g/1정)
해열진통소염제,류마크로정(아세클로페낙)_(0.1g/1정)
해열진통소염제,뉴마탈정(아세클로페낙)_(0.1g/1정)
해열진통소염제,동성아세클로페낙정_(0.1g/1정)
해열진통소염제,세클로낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아섹정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,아로펜정(아세클로페낙)(수출명:아로페나정)_(0.1g/1정)
해열진통소염제,아세펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,세클펜정(아세클로페낙)(수출명:CECLOFEN Tab.)_(0.1g/1정)
해열진통소염제,클란자정(아세클로페낙)(수출명:SpeenacTabs.)_(0.1g/1정)
해열진통소염제,아크로낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아크로신정(아세클로페낙)_(0.1g/1정)
해열진통소염제,태극아세클로페낙정_(0.1g/1정)
해열진통소염제,아세낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,베오페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,에이펙스정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세틸론정(아세클로페낙)_(0.1g/1정)
해열진통소염제,페노클정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세젠정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세클낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,크리페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,"에이서정(아세클로페낙)(수출명: SEONAC, BEEOCURACIN)_(0.1g/1정)"
해열진통소염제,아로낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아클론정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아포낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세롬정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,에어클란정(아세클로페낙)_(0.1g/1정)
해열진통소염제,알로페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,유니세탈정(아세클로페낙)_(0.1g/1정)
해열진통소염제,에이펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,지엘아세클로페낙정100밀리그램_(0.1g/1정)
해열진통소염제,아로탈정(아세클로페낙)(수출명:아로세탈정(Arocetaltablet))_(0.1g/1정)
해열진통소염제,아세페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아엔탈정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세클정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세크로정(아세클로페낙)_(0.1g/1정)
해열진통소염제,앤세낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,에어펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아나클정(아세클로페낙)(수출명:파나정정)_(0.1g/1정)
해열진통소염제,아세탈정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아리펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,에이낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아펜탈정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세탑정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세클라정(아세클로페낙)_(0.1g/1정)
해열진통소염제,에어클로정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세로정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,에어팩정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아펜탁정(아세클로페낙)_(0.1g/1정)
해열진통소염제,에어페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아덴만정(아세클로페낙)_(0.1g/1정)
해열진통소염제,세니탈정(아세클로페낙)(수출명:하나세니탈정)_(0.1g/1정)
해열진통소염제,아세네정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아이제낙정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,아크로정(아세클로페낙)_(0.1g/1정)
해열진통소염제,위더스페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세티탄정(아세클로페낙)_(0.1g/1정)
해열진통소염제,뉴클로페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,크로탈정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아스낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,에스노펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아가펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,천우클로페낙100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세클로디드정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세날정(아세클로페낙)_(0.1g/1정)
해열진통소염제,엔클로페낙정(아세클로페낙)_(0.1g/1정)
해열진통소염제,에이텍정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세크정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세쿨정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세론정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세파인정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아스로펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,휴니즈아세클로페낙정_(0.1g/1정)
해열진통소염제,아세로탈정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,세크로정(아세클로페낙)(수출명:HUONSACENACTab.)_(0.1g/1정)
해열진통소염제,카나펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,세나펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세큐어정(아세클로페낙)_(0.1g/1정)
해열진통소염제,세크로낙정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세바정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,에클로펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세테크정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아스로정(아세클로페낙)_(0.1g/1정)
해열진통소염제,셀트리온아세클로페낙정_(0.1g/1정)
해열진통소염제,대웅바이오아세클로페낙정100밀리그램_(0.1g/1정)
해열진통소염제,아세코낙정100밀리그램(아세클로페낙)_(0.1g/1정)
해열진통소염제,일양바이오아세클로페낙정_(0.1g/1정)
해열진통소염제,아세민정(아세클로페낙)_(0.1g/1정)
해열진통소염제,애니락정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아클펜정(아세클로페낙)_(0.1g/1정)
해열진통소염제,아세크릴CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아클페낙CR서방정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아클로CR서방정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세팜CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아페락CR서방정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아펙서방정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세클란CR서방정(아세클로페낙)_(0.2g/1정)
해열진통소염제,엠페낙CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,뉴마탈CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아로펜CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,클란자CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,베오페낙CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세롱CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,에어클란CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,에이펜CR서방정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세페낙CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아엔탈CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아크로날CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,파마아세클로페낙CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세탈CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,에이스낙CR서방정200밀리그램(아세클로페낙)_(0.2g/1정)
해열진통소염제,아펜탈CR서방정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세탑CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아셀로CR서방정200밀리그램(아세클로페낙)_(0.2g/1정)
해열진통소염제,레세낙CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,에어페낙CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,세니탈CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세네CR서방정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아크로CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,팜페낙CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아스낙CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아가펜서방정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세날CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,에세탈서방정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세론CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세파인CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,클라낙CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,에클로펜CR서방정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세클로CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,아세민CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,클로켐CR정(아세클로페낙)_(0.2g/1정)
해열진통소염제,삼남아세트아미노펜정_(0.3g/1정)
해열진통소염제,삼익아세트아미노펜정500밀리그람_(0.5g/1정)
해열진통소염제,삼남아세트아미노펜정500밀리그람_(0.5g/1정)
해열진통소염제,알파아세트아미노펜정500밀리그람_(0.5g/1정)
해열진통소염제,세리콘정(아세트아미노펜)_(0.5g/1정)
해열진통소염제,세토펜현탁액(아세트아미노펜)_(16g/500mL)
해열진통소염제,어린이타이레놀현탁액(아세트아미노펜(미분화))_(16g/500mL)(무색소)
해열진통소염제,어린이타이레놀현탁액(아세트아미노펜(미분화))_(16g/500mL)(무색소)
해열진통소염제,세토펜건조시럽(아세트아미노펜)_(120g/300g)
해열진통소염제,라페론건조시럽(아세트아미노펜)_(120g/300g)
해열진통소염제,펜노미아건조시럽(아세트아미노펜)_(120g/300g)
해열진통소염제,세토펜정(아세트아미노펜)_(0.16g/1정)
해열진통소염제,어린이용타스펜정160밀리그램(아세트아미노펜)_(0.16g/1정)
해열진통소염제,라페론정160밀리그람(아세트아미노펜)_(0.16g/1정)
해열진통소염제,아스타펜정160밀리그람(아세트아미노펜제피세립)_(0.16g/1정)
해열진통소염제,트라몰정160밀리그람(아세트아미노펜)_(0.16g/1정)
해열진통소염제,엘앤씨메가펜정(아세트아미노펜제피세립)_(0.3457g/1정)
해열진통소염제,루트펜325밀리그램정(아세트아미노펜)_(0.325g/1정)
해열진통소염제,세토펜정325밀리그램(아세트아미노펜)_(0.325g/1정)
해열진통소염제,휴텍스에이에이피정325밀리그람(아세트아미노펜제피세립)_(0.325g/1정)
해열진통소염제,"타스멘정(아세트아미노펜)_(아세트아미노펜, 0.325g/1정)"
해열진통소염제,라페론정325밀리그램(아세트아미노펜)_(0.325g/1정)
해열진통소염제,아스타펜정325밀리그람(아세트아미노펜제피세립)_(0.325g/1정)
해열진통소염제,아세핀정(아세트아미노펜제피세립)_(0.325g/1정)
해열진통소염제,일성아세트아미노펜정325밀리그램_(0.325g/1정)
해열진통소염제,트라몰정325밀리그람(아세트아미노펜)_(0.325g/1정)
해열진통소염제,아미세타정325밀리그람(아세트아미노펜제피세립)_(0.325g/1정)
해열진통소염제,펜세타정(아세트아미노펜제피세립)_(0.325g/1정)
해열진통소염제,타세놀8시간이알서방정325밀리그램(아세트아미노펜)_(0.325g/1정)
해열진통소염제,세토펜정80밀리그램(아세트아미노펜)_(80mg/1정)
해열진통소염제,아세트엠8시간이알서방정650밀리그램(아세트아미노펜)_(0.65g/1정)
해열진통소염제,타이레펜8시간이알서방정650밀리그램(아세트아미노펜)_(0.65g/1정)
해열진통소염제,타세놀8시간이알서방정(아세트아미노펜)_(0.65g/1정)
해열진통소염제,펜잘8시간이알서방정(아세트아미노펜)_(0.65g/1정)
해열진통소염제,써스펜8시간이알서방정650밀리그램(아세트아미노펜)_(0.65g/1정)
해열진통소염제,엔시드8시간이알서방정650mg(아세트아미노펜)_(0.65g/1정)
해열진통소염제,세토펜8시간이알서방정(아세트아미노펜)_(0.65g/1정)
해열진통소염제,타스펜8시간이알서방정650밀리그람(아세트아미노펜)(수출명:도로돈이알정)_(0.65g/1정)
해열진통소염제,라페론8시간이알서방정650밀리그램(아세트아미노펜)_(0.65g/1정)
해열진통소염제,티메롤8시간이알서방정(아세트아미노펜)_(0.65g/1정)
해열진통소염제,타이몰8시간이알서방정650밀리그램(아세트아미노펜)_(0.65g/1정)
해열진통소염제,타이리콜8시간이알서방정(아세트아미노펜)_(0.65g/1정)
해열진통소염제,"타이펜8시간이알서방정_(아세트아미노펜, 0.65g/1정)"
해열진통소염제,이알펜8시간서방정(아세트아미노펜)_(0.65g/1정)
해열진통소염제,트라몰8시간서방정650밀리그람(아세트아미노펜)_(0.65g/1정)
해열진통소염제,세타펜8시간이알서방정650밀리그램(아세트아미노펜)_(0.65g/1정)
해열진통소염제,타이레놀8시간이알서방정(아세트아미노펜)_(0.65g/1정)
해열진통소염제,타미스펜8시간이알서방정(아세트아미노펜)_(0.65g/1정)
해열진통소염제,아니스펜8시간이알서방정(아세트아미노펜)_(0.65g/1정)
호흡기관용약,뮤라텐캡슐100밀리그램(아세틸시스테인)_(0.1g/1캡슐)
호흡기관용약,보령아세틸시스테인캡슐100밀리그램_(0.1g/1캡슐)
호흡기관용약,뮤코스텐캡슐100밀리그램(아세틸시스테인)_(0.1g/1캡슐)
호흡기관용약,뮤테란캡슐100밀리그램(아세틸시스테인)_(0.1g/1캡슐)
호흡기관용약,튜란트캡슐100밀리그램(아세틸시스테인)_(0.1g/1캡슐)
호흡기관용약,로스테인캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,세시텐캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,투스테인캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤라텐캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,독립목클린캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,엔테인캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤코린캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,아세란캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤라스텐캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,아테인캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,인코반캡슐200mg(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,오스테인캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤스타캡슐200mg(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,아세테인캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,보령아세틸시스테인캡슐200밀리그램_(0.2g/1캡슐)
호흡기관용약,삼성아세틸시스테인캡슐_(0.2g/1캡슐)
호흡기관용약,후루케어캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,"미리놀캡슐_(아세틸시스테인, 0.2g/1캡슐)"
호흡기관용약,아세락캅셀200밀리그람(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,목틴캡슐(아세틸시스테인)(수출명:뮤코브론치)_(0.2g/1캡슐)
호흡기관용약,해그린캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,무테린캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,세티레인캡슐200mg(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,시스타인캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤코스텐캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,스테신캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤테인캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤트린캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,세틸란캡슐200mg(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,인테스캡슐200mg(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤테론캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤코세린캅셀(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,아세틸란캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤코텍캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,소담캡슐200mg(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤테란캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,스파탐캅셀200밀리그람(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,아시틴캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,아티란캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,세브론캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤코레스캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,아코라마캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,아제인캅셀(아세칠시스테인)_(0.2g/1캡슐)
호흡기관용약,아세틸캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,아세텔린캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤코크린캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,다세틸캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤스테인캡슐200mg(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,티테인캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,목테인캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤텐캡슐200mg(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤시딘캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,우리들아세틸시스테인캡슐200mg_(0.2g/1캡슐)
호흡기관용약,튜란트캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,휴니즈아세틸시스테인캡슐200mg_(0.2g/1캡슐)
호흡기관용약,비알뮤코캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,아스테란캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,아세틴캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤코티아캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤틸캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,비엘아세틸캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤코틸캡슐(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,누코미트캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,뮤카란캡슐200밀리그램(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,일양바이오아세틸시스테인캡슐200밀리그램_(0.2g/1캡슐)
호흡기관용약,뮤코다인캡슐200mg(아세틸시스테인)_(0.2g/1캡슐)
호흡기관용약,프리아틸정600mg(아세틸시스테인)_(0.6g/1정)
호흡기관용약,뮤테란과립200밀리그램(아세틸시스테인)_(0.2g/1g)
호흡기관용약,뮤코스텐주10%(아세틸시스테인)_(0.3g/3mL)
호흡기관용약,뮤테란주사(수출명: Ateran)(아세틸시스테인)_(0.3g/3mL)
호흡기관용약,스파탐주10%(아세틸시스테인)_(0.3g/3mL)
호흡기관용약,뮤코스텐주15%(아세틸시스테인)_(0.3g/2mL)
호흡기관용약,뮤테란주사(수출명: Ateran)(아세틸시스테인)_(0.6g/6mL)
호흡기관용약,스파탐주10%(아세틸시스테인)_(0.6g/6mL)
호흡기관용약,뮤테란주사(수출명: Ateran)(아세틸시스테인)_(1g/10mL)
호흡기관용약,"세브론시럽(아세틸시스테인)(수출명:뮤시스틴시럽,스파탐시럽)_(10g/500mL)"
호흡기관용약,튜란트시럽(아세틸시스테인)_(10g/500mL)
호흡기관용약,미리놀과립(아세틸시스테인)_(20g/100g)
호흡기관용약,세브론과립(아세틸시스테인)_(20g/100g)
호흡기관용약,팜젠아세틸시스테인과립200밀리그램_(20g/100g)
호흡기관용약,비알뮤코과립(아세틸시스테인)_(20g/100g)
호흡기관용약,일양바이오아세틸시스테인과립200밀리그램_(20g/100g)
호흡기관용약,이테란과립(아세틸시스테인)_(40g/200g)
호흡기관용약,뮤테란과립200밀리그람(아세틸시스테인)_(40g/200g)
호흡기관용약,튜란트과립200mg(아세틸시스테인)_(40g/200g)
호흡기관용약,보령뮤코미스트액10%(아세틸시스테인)_(0.8g/8mL)
호흡기관용약,뮤코나액(아세틸시스테인)_(1.6g/8mL)
지질저하제,일동올베탐캡슐(아시피목스)_(0.25g/1캡슐)
혈압강하작용의약품,세타프릴정25밀리그램(알라세프릴)_(25mg/1정)
혈압강하작용의약품,세타프릴정50밀리그램(알라세프릴)_(50mg/1정)
마약류 아편유사제,하나알펜타닐주사_(1mg/2mL)
정신신경용제,자나팜정1밀리그람(알프라졸람)_(1mg/1정)
정신신경용제,자낙스정0.25밀리그램(알프라졸람)_(0.25mg/1정)
정신신경용제,자이렌정0.25밀리그램(알프라졸람)_(0.25mg/1정)
정신신경용제,한림알프라졸람정0.25밀리그램_(0.25mg/1정)
정신신경용제,자세틴정0.25밀리그램(알프라졸람)_(0.25mg/1정)
